Puesto,País,Índice de Costo de Vida,Índice de Alquiler,Índice de Costo de Vida más Alquiler,Índice de Comestibles,Índice de Precios en Restaurantes,Índice de Poder Adquisitivo Local
,Ghana,6048,4673,5389,5635,4338,1452
,Jordania,5922,1251,3683,5019,5619,4227
,Costa Rica,5857,1876,3950,5755,4538,5363
,Baréin,5778,3164,4526,5545,4924,9478
,Jamaica,5690,1192,3534,5596,3904,3661
,Panamá,5688,3186,4489,5744,4742,3848
,Trinidad y Tobago,5615,2109,3935,5354,5194,5714
,Grecia,5587,1020,3398,4495,5462,5824
,Belice,5580,1135,3450,4935,3341,13433
,Mongolia,5556,2965,4314,5399,3181,2283
,España,5498,1883,3765,4468,5368,8787
,Chipre,5407,1228,3404,4406,5805,9592
,Palestina,5346,1031,3278,5002,3780,5054
,Eslovenia,5324,1406,3446,4348,4313,7823
,Fiyi,5311,2743,4080,5709,3684,3367
,Brasil,5307,1552,3507,4165,4233,4238
,Omán,5259,2792,4077,4934,5126,11186
,Argentina,5257,1392,3405,4406,5037,5840
,República Dominicana,5209,1254,3314,4692,4231,2908
,Zimbabue,5156,1358,3336,4475,3995,2718
,Mauricio,5039,1262,3229,4328,3581,5077
,Chile,5009,1543,3348,4319,4438,6128
,Estonia,4950,1398,3247,3674,4676,6848
,Portugal,4919,1677,3366,3914,4124,6272
,Tanzania,4851,2280,3619,3755,3348,4195
,Arabia Saudita,4837,1436,3207,4054,3022,13805
,Croacia,4800,1009,2983,3991,3753,6071
,Letonia,4783,1209,3070,3672,4116,5245
,Honduras,4740,1160,3024,3937,3627,3749
,Irak,4704,1522,3179,3920,4443,5509
,Camboya,4677,1455,3133,5058,2211,1659
,Lituania,4673,1325,3069,3615,4008,5167
,Namibia,4648,2103,3428,4086,4321,5049
,Ecuador,4610,1244,2997,4487,3041,3777
,Guatemala,4601,1431,3082,4388,3263,4818
,El Salvador,4595,938,2842,4117,3515,2970
,Libia,4585,1880,3288,4701,3569,13265
,Etiopía,4572,2083,3379,3690,2390,1666
,Eslovaquia,4490,1649,3129,3884,3317,6475
,China,4476,1867,3226,4774,2968,6784
,Zambia,4473,2194,3381,3383,3232,8993
,Tailandia,4371,1494,2992,4831,2142,3428
,Sudáfrica,4312,1633,3028,3627,4020,9896
,Hungría,4277,1267,2835,3362,3272,4752
,Rusia,4201,1758,3030,3358,4385,4827
,República Checa,4122,1483,2857,3584,2799,7622
,Indonesia,4111,1166,2699,4580,2029,2761
,Malasia,4024,1119,2632,4244,2087,7334
,Vietnam,4011,1549,2831,3960,2046,2477
,Perú,3947,1723,2881,3617,2550,4120
,Montenegro,3935,954,2506,3110,3503,4661
,Kenia,3900,968,2495,3765,2998,3099
,Bolivia,3865,1107,2543,3213,2797,4674
,Turquía,3860,1056,2516,3346,2645,5564
,Venezuela,3830,751,2355,3940,3734,335
,Irán,3826,1705,2809,3353,3317,4318
,Polonia,3815,1393,2654,2969,3153,7175
,Nigeria,3682,1762,2762,3702,2237,2523
,Bulgaria,3649,891,2327,3049,2956,5140
,Bangladés,3610,561,2149,3271,2486,3700
,Rumania,3563,959,2315,2905,3016,5344
,Marruecos,3553,1044,2350,3151,2389,4120
,Bosnia y Herzegovina,3505,622,2123,2976,2422,5129
,Filipinas,3471,732,2158,3395,1986,3600
,Colombia,3445,1069,2306,2876,2497,3763
,Uganda,3414,683,2105,2941,2079,1942
,Armenia,3387,991,2239,2683,3103,3288
,Bielorrusia,3384,1221,2347,2719,3760,3643
,Serbia,3379,725,2107,2496,2720,4080
,Sri Lanka,3347,874,2162,3679,1951,3028
,Albania,3242,630,1990,2607,2506,3449
,Argelia,3238,683,2014,3250,2012,3666
,Macedonia del Norte,3093,602,1899,2541,2074,3985
,Kazajistán,3074,1127,2141,2483,3204,4484
,Nepal,3002,336,1724,2638,1627,2509
,México,2981,837,1953,2806,2580,6008
,Túnez,2874,610,1789,2758,1695,4019
,Moldavia,2837,785,1854,2197,2032,2938
,Siria,2831,598,1761,2672,2221,1408
,Azerbaiyán,2776,1066,1957,2293,2925,3080
,Georgia,2737,857,1836,2226,2665,3303
,Pakistán,2718,503,1657,2483,2101,3995
,Ucrania,2622,936,1814,1987,1969,2693
,India,2508,677,1631,2520,1638,7673
,Egipto,2236,503,1405,1901,1856,2939
