Puesto,País,Índice de Costo de Vida,Índice de Alquiler,Índice de Costo de Vida más Alquiler,Índice de Comestibles,Índice de Precios en Restaurantes,Índice de Poder Adquisitivo Local
,Omán,5420,2896,4187,4738,4445,10683
,Uganda,5390,834,3164,4984,2660,1691
,Namibia,5367,2068,3755,4669,5135,4286
,Palestina,5327,755,3093,4850,3597,4609
,Chile,5321,1712,3558,4777,4459,5511
,Honduras,5306,1012,3208,4971,3392,6264
,Birmania,5304,2747,4055,5938,2639,2118
,Lituania,5276,1359,3362,4455,3753,4686
,Libia,5212,1912,3599,5809,4766,4429
,Eslovaquia,5160,1742,3490,4694,3813,5605
,Etiopía,5147,1688,3456,5027,2476,1585
,El Salvador,5064,1059,3107,4445,3633,2867
,Guatemala,5042,1405,3265,5153,3575,3802
,Arabia Saudita,5035,1522,3319,4691,3483,12619
,Bielorrusia,5020,1764,3429,4538,5788,3582
,Kenia,5001,1711,3393,5055,3483,2874
,Turquía,4955,1150,3096,3994,3874,5363
,Perú,4943,1701,3358,4765,3429,3064
,Hungría,4890,952,2966,3930,3778,4685
,China,4889,2242,3596,5018,3652,4864
,República Checa,4850,1661,3292,4378,3304,6807
,Irak,4821,1797,3343,4185,4329,4120
,Montenegro,4809,959,2927,4034,4146,4024
,Nicaragua,4785,790,2833,4327,2834,2062
,Tailandia,4652,1672,3196,5274,2472,3875
,Malasia,4597,1341,3006,4588,2544,7354
,Sudáfrica,4558,1695,3159,4041,4152,10178
,Ecuador,4557,1401,3015,4626,2926,2800
,Polonia,4511,1513,3046,3650,3877,6349
,Irán,4453,1777,3146,4598,4007,3065
,Bulgaria,4357,949,2691,3850,3381,3988
,Serbia,4329,847,2628,3500,3720,3915
,Rumania,4239,1001,2657,3743,3506,4062
,Bosnia y Herzegovina,4230,731,2520,3752,2914,4474
,Albania,4195,855,2563,3410,3321,3479
,Vietnam,4186,1486,2867,3942,2269,2132
,Sri Lanka,4166,1074,2655,5079,2281,2824
,Ucrania,4129,1268,2731,3553,3818,2787
,México,4126,1171,2682,4235,3327,5951
,Armenia,4068,965,2552,3320,3271,2774
,Kosovo,4017,1476,2775,3052,2975,2919
,Bolivia,4002,1084,2576,3395,2601,4110
,Filipinas,4000,753,2413,4114,2313,3541
,Marruecos,3978,1026,2536,3482,3235,3549
,Georgia,3956,1194,2606,3182,3793,2621
,Indonesia,3935,1385,2689,4412,2191,2601
,Bangladés,3922,585,2291,4011,2552,3343
,Colombia,3892,1291,2621,3621,2961,3608
,Siria,3824,1035,2461,3537,3125,2311
,Macedonia del Norte,3741,702,2256,3199,2848,3548
,Egipto,3722,901,2343,3509,3204,2584
,Moldavia,3472,769,2151,2975,2838,2370
,Argelia,3410,783,2126,3395,2696,3694
,Túnez,3406,847,2156,3197,2326,3675
,Pakistán,3071,481,1805,3038,2350,3321
,Nepal,2885,323,1633,2780,1866,2133
,India,2627,678,1674,2852,1594,6579
